Well_Name,depth_m,Facies,Porosity,reflection_strength,instantaneous_phase,instantaneous_frequency,instantaneous_amplitude,rms_attribute,discontinuity,sweetness,thin_bed_indicator,relative_amp_change_x,relative_amp_change_y
A10,1394.85,NA,NA,4402.0986,32.693073,0.031247819,-3635.842,2102.0977,14.127874,43912.082,0.018180875,0.039662156,0.06830515
A10,1399.1409999999998,NA,NA,4216.164,-124.75083,0.022829304,-2335.1912,2406.7195,13.221971,40862.805,0.0052710017,0.026825292,0.030997004
A10,1403.432,NA,NA,3915.0664,-89.48504,0.021838354,-90.93042,2628.7578,14.644,36939.945,0.0017105117,-0.012113162,0.0063888007
A10,1407.723,NA,NA,4010.9563,-55.75002,0.020094497,2000.3125,2775.6252,16.95029,37059.69,-0.00032015165,-0.06413289,0.024176598
A10,1412.014,NA,NA,3749.7576,-24.708845,0.016110107,3147.9458,2863.194,18.78343,34126.336,-0.002945355,-0.12090761,-0.015658686
A10,1416.3049999999998,NA,NA,3762.6316,0.1774025,0.017879369,3402.975,2913.8396,20.70651,33536.51,0.00039546247,-0.16265774,-0.041419096
A10,1420.596,NA,NA,3767.9368,27.796734,0.014487946,2994.928,2878.638,27.375843,32721.893,-0.0019290295,-0.18416373,-0.11397028
A10,1424.887,NA,NA,3696.7869,50.177143,0.015169522,2000.3124,2693.5933,29.044743,31047.021,-0.0005225675,-0.15682223,-0.055907864
A10,1429.1779999999999,NA,NA,3739.0168,73.610405,0.015514885,699.66144,2411.9114,25.50265,30369.053,0.0003271637,-0.17719054,0.14955282
A10,1433.4689999999998,NA,NA,3570.7573,97.57719,0.015026877,-677.4985,2165.074,24.996353,28261.268,0.00031480272,-0.19344947,0.42007425
A10,1437.76,NA,NA,3320.5925,120.7901,0.013591113,-1621.1082,2058.5134,29.040049,25812.719,-0.00040840404,-0.16138332,0.296732
A10,1442.051,NA,NA,2982.702,90.35653,0.013353833,-2054.6584,2062.1694,33.888054,23901.422,0.00053788826,-0.10373555,0.22335331
A10,1446.3419999999999,NA,NA,2710.5408,59.556427,0.012121967,-2131.1675,2100.5671,35.395412,22082.535,0.0007511437,-0.034816198,0.18477961
A10,1450.6329999999998,NA,NA,2299.6812,26.853394,0.005302575,-1901.6406,2117.466,34.02246,18762.47,-0.004945916,0.044687033,0.10261866
A10,1454.924,NA,NA,2140.7014,-16.383978,0.0068550585,-1799.6288,2080.804,32.11113,17344.44,-0.0028468336,0.18046533,0.059684686
A10,1459.215,NA,NA,2297.6594,-5.79456,0.012265961,-1748.6228,2027.0292,30.184923,18446.15,0.0027318008,0.29438618,0.04224256
